gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group D,some high school,standard,none,57,61,55
male,group C,master's degree,standard,completed,76,82,88
male,group D,some college,standard,completed,86,80,99
male,group A,some college,standard,none,72,63,74
male,group E,bachelor's degree,standard,none,88,89,93
female,group D,master's degree,standard,none,52,43,53
female,group E,some college,free/reduced,none,67,69,72
male,group B,some high school,free/reduced,none,50,60,55
male,group A,master's degree,standard,completed,62,69,62
female,group C,high school,free/reduced,none,52,45,57
female,group E,master's degree,free/reduced,completed,61,56,76
female,group B,bachelor's degree,standard,none,71,76,78
female,group B,high school,free/reduced,none,43,42,47
female,group C,some college,free/reduced,none,74,73,76
male,group D,bachelor's degree,standard,completed,82,89,75
female,group A,some high school,free/reduced,completed,42,37,35
male,group B,associate's degree,standard,none,93,92,96
female,group E,associate's degree,free/reduced,completed,94,90,84
female,group B,some college,free/reduced,none,78,72,73
male,group C,bachelor's degree,standard,none,68,63,79
male,group B,high school,free/reduced,none,44,52,61
male,group D,some college,free/reduced,completed,81,84,69
female,group A,some college,standard,completed,69,64,83
male,group E,bachelor's degree,free/reduced,completed,84,84,83
male,group D,associate's degree,standard,none,74,63,75
female,group B,associate's degree,free/reduced,none,75,71,75
male,group D,master's degree,standard,completed,81,100,90
female,group E,some high school,free/reduced,none,71,72,59
female,group A,associate's degree,free/reduced,completed,66,74,70
male,group B,some college,standard,none,97,99,91
male,group B,high school,free/reduced,completed,67,72,73
male,group D,bachelor's degree,free/reduced,completed,72,79,85
male,group A,some high school,free/reduced,completed,94,87,95
male,group D,high school,standard,completed,55,57,59
male,group D,master's degree,standard,none,51,66,56
male,group C,associate's degree,standard,completed,90,86,85
male,group C,associate's degree,free/reduced,none,43,40,56
male,group D,some high school,standard,completed,100,100,100
male,group C,high school,free/reduced,completed,59,63,66
female,group E,some high school,free/reduced,none,49,55,51
male,group C,some college,standard,completed,100,100,100
female,group A,some high school,free/reduced,none,83,89,79
male,group C,high school,free/reduced,none,89,90,100
male,group A,high school,free/reduced,none,74,86,86
male,group D,associate's degree,free/reduced,none,48,55,48
male,group A,some high school,standard,completed,100,94,93
male,group C,some college,free/reduced,none,56,79,35
male,group B,bachelor's degree,free/reduced,completed,78,94,70
female,group D,associate's degree,standard,none,85,85,85
male,group D,some high school,standard,completed,73,78,85
male,group D,bachelor's degree,standard,completed,85,97,80
male,group D,high school,free/reduced,none,74,75,79
female,group A,associate's degree,free/reduced,none,66,74,78
male,group E,some college,standard,completed,59,70,61
female,group D,some college,standard,none,75,69,75
male,group C,associate's degree,free/reduced,completed,85,83,76
male,group E,associate's degree,free/reduced,none,50,59,41
male,group B,associate's degree,free/reduced,completed,63,69,68
female,group E,master's degree,standard,none,64,73,63
female,group C,some high school,free/reduced,none,88,89,90
female,group C,high school,free/reduced,completed,76,75,76
male,group A,master's degree,standard,completed,82,68,88
male,group D,bachelor's degree,standard,none,59,52,54
female,group D,some college,standard,none,79,81,77
male,group E,high school,free/reduced,none,50,59,67
male,group B,high school,free/reduced,completed,66,72,61
female,group A,high school,free/reduced,completed,56,57,55
male,group A,high school,standard,none,81,80,77
female,group E,some college,free/reduced,completed,74,78,79
female,group C,high school,free/reduced,completed,62,65,72
female,group C,high school,free/reduced,none,66,80,63
male,group A,bachelor's degree,free/reduced,none,44,47,42
male,group A,some college,free/reduced,none,38,28,37
male,group B,bachelor's degree,standard,completed,82,74,87
male,group A,some high school,standard,none,73,87,68
male,group E,high school,free/reduced,completed,75,68,73
female,group D,high school,standard,completed,100,100,93
female,group A,master's degree,standard,completed,90,90,80
male,group C,associate's degree,standard,completed,62,62,62
female,group A,master's degree,free/reduced,none,77,78,85
male,group C,high school,free/reduced,none,41,53,44
male,group D,high school,standard,completed,69,69,61
female,group B,bachelor's degree,free/reduced,completed,64,66,54
female,group C,high school,standard,none,96,86,99
female,group D,bachelor's degree,free/reduced,none,49,53,37
female,group B,master's degree,standard,completed,63,69,73
female,group E,high school,free/reduced,completed,64,68,66
female,group B,master's degree,standard,completed,66,79,54
male,group D,high school,free/reduced,completed,82,85,76
male,group C,bachelor's degree,free/reduced,completed,49,54,45
female,group E,some college,standard,completed,58,73,53
male,group A,master's degree,free/reduced,none,54,44,43
female,group B,master's degree,standard,completed,68,66,62
male,group B,some high school,standard,none,99,100,95
female,group B,master's degree,standard,completed,90,99,85
male,group D,associate's degree,standard,none,72,79,82
male,group A,high school,free/reduced,completed,47,56,49
female,group E,some high school,free/reduced,none,73,78,66
female,group A,associate's degree,free/reduced,none,45,61,44
female,group E,high school,standard,none,47,52,41
female,group D,associate's degree,standard,completed,93,97,92
male,group B,bachelor's degree,free/reduced,none,65,69,73
female,group C,associate's degree,free/reduced,completed,79,83,82
female,group E,high school,free/reduced,none,65,58,85
female,group A,associate's degree,standard,completed,88,97,92
male,group A,bachelor's degree,free/reduced,completed,56,57,49
male,group E,bachelor's degree,free/reduced,none,45,62,52
male,group B,associate's degree,standard,none,81,82,90
female,group C,some high school,standard,completed,63,69,73
male,group B,high school,standard,completed,65,69,57
male,group C,some high school,standard,completed,69,66,68
male,group C,bachelor's degree,free/reduced,none,61,71,71
female,group C,some high school,standard,none,65,82,53
female,group C,some high school,free/reduced,none,40,42,37
female,group E,some high school,standard,none,61,60,50
male,group D,master's degree,free/reduced,none,27,26,21
female,group B,high school,standard,none,80,67,73
female,group D,master's degree,standard,completed,51,52,62
male,group E,associate's degree,free/reduced,completed,49,53,48
male,group B,associate's degree,standard,completed,76,87,70
female,group A,master's degree,standard,none,59,69,52
male,group E,some college,standard,completed,99,97,100
female,group B,associate's degree,standard,none,51,51,52
male,group E,some college,free/reduced,none,65,75,76
female,group A,master's degree,standard,completed,75,76,80
female,group C,associate's degree,standard,none,53,51,43
male,group A,some college,free/reduced,none,68,81,64
male,group B,master's degree,free/reduced,completed,63,73,72
female,group D,some high school,standard,none,82,84,78
female,group E,high school,free/reduced,none,73,70,88
female,group B,bachelor's degree,standard,completed,100,94,100
female,group D,high school,free/reduced,none,81,87,86
male,group E,master's degree,standard,none,65,60,59
female,group B,high school,standard,none,67,53,64
male,group C,some high school,standard,completed,92,100,100
male,group B,some high school,free/reduced,completed,75,83,75
male,group D,bachelor's degree,standard,completed,85,78,93
male,group E,some high school,free/reduced,completed,41,34,46
female,group A,master's degree,standard,none,70,79,77
female,group E,associate's degree,free/reduced,none,49,44,43
female,group A,high school,free/reduced,none,65,77,64
male,group E,associate's degree,standard,completed,74,81,78
male,group C,master's degree,free/reduced,completed,79,85,73
male,group A,master's degree,free/reduced,completed,70,75,84
male,group A,high school,standard,none,82,86,77
male,group A,bachelor's degree,free/reduced,completed,59,68,57
male,group D,master's degree,standard,completed,61,60,54
male,group E,bachelor's degree,free/reduced,none,54,57,38
male,group C,some college,standard,completed,75,83,91
female,group E,some high school,free/reduced,none,66,73,66
female,group D,bachelor's degree,free/reduced,none,94,87,92
male,group C,high school,free/reduced,none,60,58,59
male,group D,some college,free/reduced,completed,51,55,64
female,group E,master's degree,free/reduced,completed,60,59,54
female,group C,some college,free/reduced,completed,59,75,65
male,group A,some college,free/reduced,completed,73,72,70
male,group B,some college,free/reduced,completed,42,43,39
female,group C,bachelor's degree,standard,none,71,80,77
female,group A,master's degree,standard,completed,78,82,87
male,group B,master's degree,standard,completed,79,80,76
female,group B,some college,free/reduced,none,52,47,46
male,group A,high school,free/reduced,completed,62,66,54
female,group C,some high school,standard,completed,54,64,64
male,group E,associate's degree,free/reduced,completed,58,64,54
male,group B,master's degree,free/reduced,completed,57,53,44
female,group A,high school,free/reduced,none,67,83,79
male,group D,bachelor's degree,standard,none,53,44,43
male,group A,associate's degree,standard,completed,87,77,94
male,group C,some college,standard,completed,98,100,100
male,group D,associate's degree,free/reduced,completed,34,38,38
female,group A,some college,standard,none,77,74,73
female,group E,associate's degree,standard,none,81,74,85
female,group B,high school,free/reduced,completed,56,77,44
male,group C,associate's degree,free/reduced,none,55,57,60
female,group A,some college,standard,completed,74,80,87
female,group D,master's degree,standard,none,66,71,74
female,group A,some college,free/reduced,none,56,61,41
female,group D,some college,free/reduced,none,35,42,28
male,group C,master's degree,free/reduced,none,78,86,77
male,group E,bachelor's degree,free/reduced,completed,82,81,87
female,group E,associate's degree,free/reduced,none,48,48,48
female,group C,associate's degree,standard,completed,54,42,51
male,group C,bachelor's degree,standard,none,78,74,84
male,group E,associate's degree,standard,none,62,66,72
male,group D,master's degree,standard,none,73,83,72
female,group D,bachelor's degree,free/reduced,completed,61,68,68
female,group B,some college,standard,completed,86,85,66
female,group A,master's degree,standard,completed,86,78,79
female,group D,bachelor's degree,free/reduced,none,50,29,48
male,group C,high school,free/reduced,none,40,51,37
female,group B,high school,standard,completed,52,49,55
male,group D,associate's degree,standard,completed,85,83,94
male,group A,high school,free/reduced,completed,48,51,53
female,group C,some college,standard,none,63,54,59
male,group A,bachelor's degree,free/reduced,none,52,51,40
male,group A,high school,free/reduced,completed,65,83,70
female,group A,bachelor's degree,standard,none,41,47,28
female,group C,high school,standard,none,73,78,80
female,group A,bachelor's degree,free/reduced,none,68,58,68
male,group B,bachelor's degree,free/reduced,none,62,82,53
female,group D,bachelor's degree,free/reduced,none,56,46,59
male,group E,bachelor's degree,free/reduced,none,62,79,63
female,group A,master's degree,standard,completed,81,67,82
male,group C,associate's degree,standard,none,29,42,29
male,group D,some college,standard,none,100,100,100
female,group E,some college,free/reduced,none,66,62,75
male,group D,associate's degree,free/reduced,completed,56,61,61
male,group D,some college,free/reduced,completed,60,66,69
female,group A,associate's degree,free/reduced,completed,73,68,74
female,group A,master's degree,standard,completed,74,64,88
female,group E,bachelor's degree,free/reduced,completed,35,26,41
female,group D,some high school,free/reduced,completed,96,100,93
female,group C,master's degree,free/reduced,none,59,60,51
male,group A,high school,standard,none,86,83,88
male,group E,some college,free/reduced,none,50,60,41
female,group A,associate's degree,free/reduced,none,84,90,77
female,group A,master's degree,free/reduced,none,65,61,68
female,group C,some high school,standard,none,80,72,76
female,group C,some high school,free/reduced,none,45,51,38
male,group A,high school,free/reduced,none,79,76,79
female,group D,bachelor's degree,free/reduced,none,71,74,72
male,group A,some high school,free/reduced,none,80,95,79
female,group B,some college,free/reduced,completed,56,62,54
female,group E,some high school,free/reduced,completed,58,53,66
male,group C,high school,free/reduced,completed,100,100,100
female,group A,high school,free/reduced,completed,50,44,49
female,group A,bachelor's degree,standard,none,68,83,89
male,group D,high school,free/reduced,completed,83,80,85
male,group C,master's degree,standard,none,72,76,82
female,group B,some college,free/reduced,none,69,74,66
male,group E,bachelor's degree,free/reduced,completed,60,63,50
male,group B,some college,free/reduced,completed,71,57,66
male,group B,some high school,free/reduced,completed,46,36,45
male,group B,master's degree,standard,none,95,94,92
male,group B,master's degree,standard,completed,74,78,85
male,group B,some high school,free/reduced,none,50,51,50
female,group E,some high school,standard,completed,85,80,90
male,group C,bachelor's degree,free/reduced,completed,59,50,59
male,group A,high school,standard,completed,55,54,53
female,group D,some college,free/reduced,none,40,39,42
female,group D,high school,standard,completed,86,92,100
female,group A,associate's degree,standard,completed,73,72,68
female,group B,associate's degree,free/reduced,completed,63,70,71
male,group B,master's degree,standard,completed,92,89,84
female,group C,some college,standard,completed,59,59,56
male,group C,some college,standard,none,60,59,61
female,group B,some high school,standard,completed,70,65,73
male,group B,bachelor's degree,standard,completed,77,84,90
female,group C,associate's degree,standard,none,70,65,70
male,group B,some high school,standard,completed,71,69,65
female,group B,master's degree,free/reduced,completed,65,66,71
male,group D,some high school,free/reduced,none,59,51,57
female,group D,high school,standard,none,60,59,63
male,group C,some high school,free/reduced,completed,53,50,53
male,group E,bachelor's degree,free/reduced,none,65,64,50
male,group B,bachelor's degree,free/reduced,none,47,49,52
female,group D,some college,free/reduced,none,43,39,49
male,group E,some college,standard,none,66,66,74
male,group A,master's degree,standard,none,68,81,84
female,group B,high school,free/reduced,completed,99,100,91
female,group E,associate's degree,standard,completed,65,76,70
female,group A,high school,standard,none,85,89,89
male,group D,some college,standard,none,82,90,79
male,group B,high school,free/reduced,completed,48,43,52
male,group B,high school,free/reduced,none,72,75,77
male,group A,associate's degree,free/reduced,completed,48,51,39
male,group A,master's degree,free/reduced,completed,26,23,29
male,group C,high school,free/reduced,completed,75,70,68
female,group E,bachelor's degree,standard,none,44,34,40
female,group A,bachelor's degree,free/reduced,completed,72,86,59
female,group A,bachelor's degree,free/reduced,completed,55,49,52
male,group A,associate's degree,free/reduced,completed,90,100,90
male,group A,bachelor's degree,standard,completed,92,90,97
female,group E,master's degree,standard,completed,69,64,70
male,group E,high school,free/reduced,none,50,57,39
female,group B,some high school,standard,completed,57,54,65
female,group B,some high school,free/reduced,none,54,60,54
female,group D,associate's degree,free/reduced,completed,61,61,66
female,group A,bachelor's degree,standard,none,65,71,74
female,group D,some high school,free/reduced,none,63,57,75
female,group D,master's degree,standard,completed,84,93,100
male,group E,master's degree,free/reduced,completed,71,77,71
male,group C,master's degree,standard,completed,64,59,68
male,group B,high school,standard,completed,54,77,46
female,group B,bachelor's degree,standard,completed,96,100,100
female,group C,some high school,free/reduced,none,50,70,42
female,group E,associate's degree,standard,none,61,76,47
male,group B,some college,free/reduced,completed,58,58,65
male,group E,some college,free/reduced,completed,38,37,35
female,group D,master's degree,standard,completed,68,67,76
male,group A,master's degree,standard,completed,68,56,73
female,group B,bachelor's degree,standard,none,80,76,68
female,group D,high school,standard,none,81,85,60
female,group E,master's degree,standard,none,71,85,63
male,group C,some high school,standard,none,84,80,86
male,group A,some college,free/reduced,completed,71,80,62
male,group D,high school,standard,completed,75,67,71
male,group D,some college,standard,completed,78,75,67
male,group B,master's degree,standard,completed,73,71,75
male,group D,master's degree,standard,none,65,70,66
male,group D,some college,standard,completed,71,77,69
female,group B,associate's degree,standard,completed,59,68,71
male,group D,associate's degree,standard,none,75,83,88
female,group B,bachelor's degree,standard,completed,61,65,66
female,group D,some college,standard,completed,88,93,75
male,group D,some college,standard,none,67,81,59
male,group E,master's degree,free/reduced,completed,66,64,70
female,group A,some high school,free/reduced,completed,73,81,69
female,group C,associate's degree,standard,completed,85,73,82
female,group C,high school,standard,completed,52,57,60
male,group E,some high school,free/reduced,none,57,56,62
male,group C,bachelor's degree,free/reduced,completed,79,81,90
male,group E,some college,standard,none,45,55,43
female,group A,bachelor's degree,standard,completed,81,85,93
male,group E,master's degree,standard,none,37,46,33
female,group E,associate's degree,free/reduced,completed,50,64,63
female,group D,bachelor's degree,free/reduced,completed,66,71,68
female,group B,associate's degree,standard,completed,51,62,45
female,group C,associate's degree,standard,completed,61,60,49
male,group A,master's degree,standard,none,48,50,47
male,group E,high school,standard,completed,100,98,99
male,group C,bachelor's degree,standard,none,73,83,81
male,group D,associate's degree,free/reduced,none,69,74,69
female,group A,high school,free/reduced,completed,62,60,60
female,group E,master's degree,free/reduced,none,55,58,65
female,group A,master's degree,free/reduced,none,36,47,35
male,group B,some high school,free/reduced,none,56,58,53
female,group D,bachelor's degree,standard,completed,64,58,70
female,group A,some high school,standard,completed,88,91,85
female,group D,high school,standard,completed,93,79,99
female,group D,master's degree,free/reduced,none,82,91,79
female,group D,associate's degree,free/reduced,completed,78,77,78
female,group A,some college,free/reduced,none,52,50,54
male,group D,master's degree,free/reduced,none,44,53,42
male,group E,master's degree,free/reduced,completed,77,68,78
male,group D,some high school,standard,completed,81,98,88
male,group B,master's degree,standard,none,44,42,48
female,group B,associate's degree,standard,none,76,74,81
female,group C,some college,standard,completed,88,98,84
male,group D,some college,free/reduced,none,61,69,69
male,group D,some high school,standard,completed,73,94,79
female,group B,master's degree,standard,none,58,59,67
female,group E,some college,standard,completed,54,55,49
male,group C,bachelor's degree,standard,none,83,73,82
female,group E,bachelor's degree,free/reduced,none,56,55,62
male,group A,some high school,free/reduced,none,57,53,53
male,group C,some high school,standard,none,96,95,96
female,group C,some high school,free/reduced,completed,76,64,92
female,group B,bachelor's degree,free/reduced,completed,71,86,88
male,group C,some high school,standard,completed,78,68,89
female,group D,high school,standard,none,93,73,100
female,group E,some high school,standard,completed,100,94,94
female,group A,associate's degree,free/reduced,completed,79,77,85
male,group B,associate's degree,free/reduced,completed,74,67,72
male,group C,associate's degree,standard,completed,44,55,37
female,group B,some high school,standard,completed,77,78,74
male,group E,some college,free/reduced,none,59,61,60
male,group C,master's degree,standard,none,72,79,69
male,group C,high school,free/reduced,none,75,79,71
male,group D,some high school,free/reduced,completed,24,34,32
female,group A,master's degree,standard,none,62,55,64
male,group C,associate's degree,standard,completed,80,77,82
female,group E,master's degree,standard,completed,68,76,70
male,group D,bachelor's degree,free/reduced,none,39,21,35
female,group A,master's degree,free/reduced,none,74,65,64
female,group D,high school,standard,none,75,81,78
male,group C,some high school,free/reduced,none,46,44,43
male,group D,high school,free/reduced,none,65,75,50
female,group B,associate's degree,free/reduced,completed,78,86,76
female,group C,some high school,standard,none,71,63,63
male,group B,some high school,free/reduced,none,73,78,79
female,group B,bachelor's degree,standard,completed,77,88,82
male,group A,associate's degree,free/reduced,completed,60,63,65
female,group E,high school,standard,completed,58,52,54
female,group C,bachelor's degree,free/reduced,none,59,68,66
male,group B,master's degree,free/reduced,completed,68,75,72
male,group A,master's degree,standard,completed,89,95,86
male,group D,some college,free/reduced,none,59,67,56
female,group E,associate's degree,standard,none,77,55,86
female,group D,associate's degree,free/reduced,completed,51,60,48
female,group D,bachelor's degree,standard,completed,64,80,67
male,group A,some high school,free/reduced,completed,64,69,73
female,group A,master's degree,free/reduced,completed,50,53,66
female,group D,associate's degree,standard,none,83,90,97
male,group E,bachelor's degree,free/reduced,completed,72,77,81
male,group E,high school,standard,none,75,82,64
male,group B,bachelor's degree,standard,none,76,78,71
female,group B,high school,free/reduced,none,91,87,87
female,group B,master's degree,free/reduced,none,53,47,68
male,group B,high school,standard,completed,42,36,38
male,group B,bachelor's degree,standard,none,73,65,78
male,group B,high school,free/reduced,none,60,53,62
male,group A,some high school,standard,none,63,79,56
female,group E,bachelor's degree,standard,none,56,64,60
female,group B,associate's degree,free/reduced,none,54,51,58
male,group D,some college,free/reduced,none,63,62,54
male,group C,some college,standard,none,63,66,74
female,group E,some college,free/reduced,none,97,93,81
female,group C,high school,standard,none,56,59,52
male,group C,associate's degree,standard,completed,64,72,72
male,group A,master's degree,standard,completed,41,43,33
female,group D,some high school,free/reduced,none,64,69,68
male,group C,master's degree,standard,completed,45,54,36
male,group B,some high school,free/reduced,completed,57,57,58
female,group C,bachelor's degree,standard,completed,71,76,54
male,group E,some high school,standard,none,60,59,54
male,group C,some high school,standard,none,97,98,85
female,group E,master's degree,standard,none,85,85,83
female,group B,some college,free/reduced,completed,85,83,83
female,group D,high school,free/reduced,completed,52,56,48
male,group E,high school,free/reduced,completed,82,89,90
female,group C,bachelor's degree,free/reduced,none,68,71,62
female,group B,high school,free/reduced,completed,77,83,83
female,group D,some high school,standard,completed,91,87,100
male,group C,some college,standard,none,57,49,59
female,group D,some high school,free/reduced,completed,59,64,53
male,group D,master's degree,free/reduced,none,73,81,64
male,group E,some college,standard,completed,36,38,31
female,group C,high school,free/reduced,completed,88,100,95
male,group D,some college,standard,none,79,88,81
female,group D,bachelor's degree,free/reduced,none,60,83,68
female,group A,some high school,standard,none,74,74,81
male,group B,some high school,standard,none,55,49,57
male,group B,some college,free/reduced,none,55,51,60
male,group A,high school,free/reduced,completed,82,79,98
female,group E,some college,free/reduced,none,80,86,92
male,group E,associate's degree,standard,none,100,96,100
male,group E,some college,standard,completed,74,87,83
male,group A,master's degree,free/reduced,completed,56,56,61
male,group B,associate's degree,free/reduced,completed,58,58,68
male,group E,associate's degree,free/reduced,completed,50,44,57
male,group E,bachelor's degree,standard,completed,74,75,68
male,group E,bachelor's degree,free/reduced,none,66,68,54
female,group A,some high school,standard,completed,75,76,81
female,group C,some high school,standard,completed,92,97,100
male,group E,some college,standard,completed,72,69,67
male,group B,associate's degree,free/reduced,none,55,50,55
male,group D,associate's degree,standard,completed,67,73,59
male,group A,associate's degree,standard,none,46,49,56
female,group A,bachelor's degree,standard,completed,52,56,35
male,group A,associate's degree,free/reduced,none,43,53,26
female,group A,bachelor's degree,standard,completed,95,89,99
female,group C,associate's degree,free/reduced,completed,79,74,79
female,group D,bachelor's degree,free/reduced,none,81,93,78
male,group C,some high school,free/reduced,completed,46,36,44
male,group A,high school,free/reduced,completed,36,27,41
male,group D,high school,free/reduced,completed,56,64,53
female,group C,master's degree,free/reduced,completed,68,72,60
female,group E,associate's degree,free/reduced,none,68,71,62
female,group C,bachelor's degree,standard,completed,91,92,99
female,group D,some college,free/reduced,none,65,67,62
female,group B,high school,free/reduced,none,87,88,77
female,group B,some high school,free/reduced,none,57,70,59
male,group E,high school,free/reduced,completed,52,51,57
male,group E,high school,free/reduced,completed,40,41,52
male,group A,some high school,free/reduced,none,47,64,50
female,group E,associate's degree,standard,none,74,76,70
male,group B,master's degree,free/reduced,completed,52,72,57
female,group A,bachelor's degree,standard,none,85,86,91
male,group B,some high school,free/reduced,none,82,95,82
male,group E,master's degree,free/reduced,completed,30,19,31
male,group D,some high school,free/reduced,completed,78,82,82
female,group E,bachelor's degree,standard,none,37,26,37
male,group B,some college,standard,none,77,85,80
male,group D,bachelor's degree,free/reduced,completed,84,76,77
male,group D,some college,standard,completed,76,81,68
female,group C,some college,free/reduced,none,41,41,36
female,group A,master's degree,standard,completed,67,59,73
female,group E,master's degree,standard,none,67,56,70
male,group B,associate's degree,free/reduced,none,58,56,67
male,group D,associate's degree,free/reduced,completed,62,78,62
male,group B,bachelor's degree,free/reduced,completed,64,64,56
female,group D,some college,free/reduced,completed,69,78,79
male,group E,master's degree,free/reduced,completed,47,49,48
male,group A,master's degree,free/reduced,completed,62,71,73
male,group D,bachelor's degree,standard,completed,98,86,100
female,group A,associate's degree,standard,none,65,64,83
female,group E,bachelor's degree,free/reduced,completed,59,68,58
female,group D,some college,standard,none,87,87,95
male,group C,high school,free/reduced,none,22,23,30
female,group B,bachelor's degree,free/reduced,completed,83,82,80
female,group E,some high school,standard,none,61,72,61
female,group D,master's degree,standard,completed,78,82,67
male,group A,associate's degree,standard,none,72,74,61
male,group D,some college,standard,completed,90,97,92
female,group E,some college,free/reduced,none,56,63,64
female,group A,bachelor's degree,standard,none,60,64,66
male,group C,some high school,free/reduced,completed,85,99,89
female,group E,high school,free/reduced,none,25,27,33
female,group D,bachelor's degree,free/reduced,completed,66,70,62
male,group E,some high school,standard,completed,55,52,54
female,group D,associate's degree,free/reduced,completed,54,57,61
female,group D,some high school,free/reduced,completed,96,100,100
female,group C,some college,free/reduced,none,60,57,59
male,group B,associate's degree,free/reduced,completed,68,61,80
female,group B,bachelor's degree,standard,none,44,54,34
female,group E,high school,standard,completed,65,65,61
female,group C,bachelor's degree,free/reduced,none,63,66,62
male,group B,some high school,free/reduced,completed,71,72,78
male,group C,bachelor's degree,free/reduced,none,70,72,71
male,group E,bachelor's degree,standard,completed,76,84,67
female,group B,some high school,free/reduced,none,68,64,74
male,group D,some high school,standard,completed,82,76,92
male,group A,bachelor's degree,standard,completed,48,51,55
female,group A,some college,standard,none,71,60,77
female,group D,some high school,standard,none,82,73,68
male,group D,some college,free/reduced,none,69,86,63
female,group E,high school,standard,completed,70,78,75
female,group D,some college,standard,none,58,60,59
male,group E,some college,standard,completed,59,71,64
male,group A,associate's degree,free/reduced,none,59,52,49
female,group C,associate's degree,free/reduced,none,77,77,78
female,group D,associate's degree,standard,completed,46,53,36
male,group B,some high school,standard,completed,66,75,51
female,group A,master's degree,standard,completed,58,65,62
female,group C,high school,free/reduced,completed,77,59,85
male,group B,master's degree,standard,none,62,56,65
female,group C,master's degree,free/reduced,none,53,59,54
male,group A,associate's degree,standard,completed,72,71,61
female,group B,master's degree,free/reduced,completed,72,95,81
male,group A,master's degree,free/reduced,completed,60,69,60
female,group B,some college,standard,completed,30,36,46
female,group E,master's degree,free/reduced,none,69,62,77
male,group E,master's degree,free/reduced,completed,72,74,57
male,group B,high school,standard,completed,72,76,79
female,group A,some high school,free/reduced,completed,49,60,39
male,group A,master's degree,standard,completed,81,90,76
female,group D,associate's degree,standard,none,76,86,75
male,group E,bachelor's degree,standard,completed,68,63,69
female,group E,master's degree,free/reduced,none,57,71,61
female,group D,high school,free/reduced,none,47,38,39
male,group A,associate's degree,free/reduced,completed,63,61,55
female,group D,master's degree,standard,completed,52,58,58
male,group E,some college,standard,none,77,78,78
female,group C,master's degree,free/reduced,completed,51,45,54
female,group C,bachelor's degree,free/reduced,none,64,59,48
male,group A,associate's degree,free/reduced,completed,44,34,44
male,group A,high school,standard,completed,67,73,61
female,group B,some high school,standard,none,69,81,62
male,group B,master's degree,free/reduced,completed,41,42,49
