Name,Age,Overall,Potential,Club,Nationality,Position,Wage,Value,SprintSpeed,Acceleration,Skill Moves,Contract Valid Until
Player_46,36,81,89,Arsenal,Brazil,CB,24919,2267629,77,64,5,2023
Player_47,41,69,78,Barcelona,Netherlands,GK,32690,5949580,61,50,3,2019
Player_48,19,72,73,Juventus,Spain,ST,45817,7743073,62,93,4,2021
Player_49,21,78,82,Barcelona,France,RB,17241,2982693,74,52,2,2020
Player_50,35,73,81,Arsenal,Italy,LB,59369,11695693,81,82,5,2019
Player_51,23,53,61,Liverpool,Argentina,CDM,98349,14555652,67,79,4,2022
Player_52,37,84,91,Atletico Madrid,Italy,RW,75672,11956176,52,66,4,2021
Player_53,25,65,65,Bayern Munich,Romania,GK,2021,123281,58,66,2,2024
Player_54,23,93,93,Atletico Madrid,Netherlands,RW,32745,6287040,73,42,5,2021
Player_55,34,78,86,PSG,Netherlands,CAM,5542,698292,72,74,4,2022
Player_56,20,72,84,Barcelona,Belgium,CB,13856,484960,73,79,4,2022
Player_57,41,76,86,Real Madrid,Portugal,,215859,9281937,77,53,1,2022
Player_58,44,70,77,PSG,Italy,CB,7686,468846,70,67,4,2025
Player_59,30,67,76,Liverpool,Belgium,,34546,4180066,73,70,1,2020
Player_60,34,74,82,Barcelona,Croatia,CB,48137,4380467,69,78,5,2023
Player_61,42,80,86,PSG,Netherlands,LB,60611,11455479,87,70,5,2021
Player_62,25,67,69,Barcelona,England,LW,41009,6807494,91,45,5,2025
Player_63,42,65,67,Juventus,Netherlands,CDM,1000,175000,52,62,3,2023
Player_64,37,68,69,Liverpool,Italy,RW,19760,1007760,66,73,5,2023
Player_65,18,81,85,Chelsea,Argentina,CDM,36460,1093800,70,82,4,2024
Player_66,36,86,97,Bayern Munich,Croatia,CAM,4598,234498,65,60,2,2022
Player_67,44,75,86,Manchester City,Italy,LW,21587,3238050,96,99,1,2020
Player_68,31,77,79,Bayern Munich,Italy,LW,1688,205936,73,41,3,2024
Player_69,44,65,78,Bayern Munich,Germany,RB,4091,466374,57,61,5,2019
Player_70,23,80,85,PSG,Spain,LW,25285,657410,78,68,5,2025
Player_71,28,77,78,Liverpool,Romania,RW,7119,918351,74,66,2,2025
Player_72,24,64,75,Barcelona,Germany,LB,41913,6119298,74,51,2,2020
Player_73,31,54,56,Atletico Madrid,Netherlands,CAM,58472,10408016,97,76,3,2023
Player_74,19,59,63,Manchester City,Italy,RB,80618,11125284,75,75,1,2025
Player_75,30,65,76,Arsenal,Romania,ST,11166,1552074,65,70,5,2020
Player_76,33,83,93,PSG,Spain,RW,9165,632385,40,74,3,2025
Player_77,20,87,97,Manchester City,Germany,LB,5522,314754,67,63,4,2025
Player_78,34,67,67,Chelsea,Italy,CB,50589,1922382,89,45,4,2022
Player_79,24,67,79,Juventus,France,CDM,61289,6496634,68,59,3,2019
Player_80,20,74,74,Liverpool,Croatia,,1604,30476,36,72,5,2022
Player_81,18,72,81,Arsenal,Germany,,137609,9219803,62,72,3,2019
Player_82,22,81,89,PSG,Spain,RW,2668,525596,84,70,5,2025
Player_83,38,66,72,Bayern Munich,Germany,CDM,38967,1169010,78,78,2,2024
Player_84,26,81,81,Real Madrid,Portugal,GK,61732,2284084,57,61,3,2023
Player_85,20,69,83,PSG,Portugal,CDM,102385,4402555,61,70,5,2025
Player_86,38,80,91,Real Madrid,Netherlands,CDM,62603,1064251,63,78,3,2019
Player_87,34,69,82,Bayern Munich,France,ST,80905,15857380,60,68,3,2019
Player_88,42,65,72,Juventus,Argentina,ST,20734,3856524,39,51,5,2019
Player_89,28,91,93,Liverpool,Argentina,LW,84322,7420336,81,55,5,2025
Player_90,18,82,89,Barcelona,Spain,LB,4175,642950,88,82,1,2020
Player_91,26,54,68,PSG,England,LW,112602,22182594,47,90,3,2024
Player_92,20,67,71,Atletico Madrid,Croatia,RW,39658,3807168,88,87,4,2020
Player_93,30,84,84,Bayern Munich,Argentina,LW,84994,8244418,68,73,3,2023
Player_94,32,60,66,PSG,Croatia,CM,30103,5478746,88,51,3,2025
Player_95,31,79,83,Chelsea,Spain,CM,51581,4023318,70,69,5,2019
Player_96,24,78,83,Juventus,France,RW,37369,6315361,72,93,3,2024
Player_97,30,65,70,Chelsea,England,RW,65761,11902741,75,79,3,2024
Player_98,39,71,78,Manchester City,England,CAM,4257,408672,58,66,4,2021
Player_99,44,51,59,Liverpool,Portugal,LW,3112,342320,87,79,5,2023
Player_100,41,89,90,Manchester City,Netherlands,CM,14191,241247,53,50,3,2024
Player_101,24,68,76,PSG,Italy,RB,8690,747340,63,59,2,2025
Player_102,37,80,91,Arsenal,England,RB,102701,9859296,77,53,1,2019
Player_103,32,78,92,Arsenal,Brazil,ST,12372,643344,62,77,4,2019
Player_104,29,85,95,Liverpool,Spain,CAM,186205,25696290,81,80,3,2024
Player_105,34,67,76,Atletico Madrid,England,RB,20541,2423838,90,67,2,2020
Player_106,31,74,82,Juventus,England,CAM,10051,1889588,85,56,3,2023
Player_107,37,77,89,Atletico Madrid,Belgium,GK,77960,12551560,40,69,3,2019
Player_108,40,80,89,Juventus,Croatia,CM,53750,8653750,71,62,5,2024
Player_109,42,83,97,Bayern Munich,Brazil,LW,34477,896402,85,58,5,2019
Player_110,41,67,76,PSG,Belgium,CAM,40524,5754408,50,75,5,2024
Player_111,44,65,71,Manchester City,England,,63505,9970285,80,58,2,2023
Player_112,44,85,85,Arsenal,Italy,LB,12967,389010,80,46,3,2024
Player_113,44,51,57,Chelsea,Brazil,LW,280431,18788877,51,49,1,2021
Player_114,29,87,96,Barcelona,Portugal,GK,184031,30917208,82,45,4,2024
Player_115,25,68,72,Real Madrid,Germany,LB,52537,6251903,74,73,5,2024
Player_116,31,71,76,Barcelona,England,RW,11128,1646944,79,72,5,2025
Player_117,29,65,74,Manchester City,England,ST,57007,10774323,55,71,3,2023
Player_118,17,71,77,Manchester City,Netherlands,CM,3746,569392,72,78,3,2025
Player_119,41,84,97,Juventus,Croatia,CB,1556,224064,44,87,2,2024
Player_120,23,79,93,Atletico Madrid,Croatia,LW,14898,551226,35,61,2,2023
Player_121,25,76,80,Barcelona,Netherlands,CB,31052,1863120,72,76,5,2021
Player_122,40,72,78,Juventus,Belgium,RW,101350,19763250,86,46,3,2023
Player_123,17,57,65,Juventus,Spain,LW,64945,909230,73,90,1,2019
Player_124,28,63,65,Atletico Madrid,Italy,GK,67876,950264,69,51,4,2025
Player_125,24,68,75,Chelsea,Spain,LB,27712,2854336,67,59,3,2023
Player_126,40,76,77,Arsenal,Germany,CAM,21227,2228835,55,61,3,2021
Player_127,27,72,82,Liverpool,England,LB,23184,394128,66,47,2,2022
Player_128,35,81,87,Arsenal,Italy,CB,219703,16038319,76,70,4,2024
Player_129,33,76,88,Real Madrid,Brazil,LW,2046,300762,63,73,5,2023
Player_130,24,72,73,Barcelona,England,CDM,100882,4741454,81,67,3,2024
Player_131,19,94,99,Arsenal,Portugal,CM,43217,5186040,72,46,5,2020
Player_132,19,76,89,Liverpool,Romania,ST,28867,3492907,74,99,3,2019
Player_133,17,67,70,Bayern Munich,Romania,CAM,64596,5813640,83,78,5,2025
Player_134,43,90,96,Barcelona,England,CB,33341,4834445,62,99,4,2019
Player_135,21,84,86,Liverpool,Croatia,CM,103345,11677985,79,57,2,2020
Player_136,26,90,91,Juventus,Argentina,RW,115481,18707922,64,84,4,2020
Player_137,23,70,80,Manchester City,Italy,CAM,27384,2245488,75,81,1,2025
Player_138,42,81,90,Chelsea,Argentina,CM,16205,3030335,60,65,2,2023
Player_139,25,57,63,Real Madrid,Belgium,LW,44867,2602286,56,91,4,2020
Player_140,44,79,79,Liverpool,Netherlands,,121727,5477715,71,63,1,2022
Player_141,23,70,83,Arsenal,Brazil,GK,11828,1596780,41,64,3,2024
Player_142,25,58,72,Manchester City,England,ST,48771,3755367,65,20,3,2024
Player_143,24,82,89,Arsenal,Belgium,CB,49923,4343301,45,76,5,2021
Player_144,28,53,55,Barcelona,Belgium,RB,66046,7529244,81,50,2,2020
Player_145,18,52,63,Liverpool,Romania,CDM,7053,1255434,85,61,3,2020
Player_146,17,75,86,Arsenal,Brazil,,62908,8240948,57,54,2,2022
Player_147,32,77,89,Atletico Madrid,France,CB,119862,15342336,76,64,3,2019
Player_148,39,81,82,PSG,Romania,CAM,9903,1970697,83,76,5,2019
Player_149,39,79,81,Manchester City,England,CB,13560,1667880,83,70,4,2024
Player_150,40,86,90,Bayern Munich,Argentina,CB,177708,3376452,73,80,5,2024
Player_151,21,79,89,Manchester City,Italy,LW,9982,1577156,81,88,1,2023
Player_152,19,70,77,Arsenal,Argentina,LB,96339,16666647,60,64,3,2025
Player_153,28,71,80,Arsenal,Brazil,CDM,33891,5049759,71,62,1,2022
Player_154,24,69,75,Real Madrid,Germany,GK,14199,1419900,62,84,1,2025
Player_155,38,74,80,Atletico Madrid,England,GK,102300,1125300,58,85,2,2025
Player_156,43,61,72,Bayern Munich,Portugal,CM,29466,3742182,70,81,3,2021
Player_157,19,75,81,Chelsea,Spain,GK,36161,795542,75,55,1,2025
Player_158,17,71,85,Real Madrid,Italy,CDM,22254,4228260,87,76,4,2021
Player_159,19,74,81,Barcelona,Portugal,CM,44941,7595029,73,71,1,2025
Player_160,21,74,74,Bayern Munich,Portugal,CM,8927,928408,79,85,4,2022
Player_161,31,47,50,Liverpool,England,CAM,24803,3794859,79,61,2,2021
Player_162,30,62,74,PSG,Germany,LB,174357,7148637,99,45,1,2019
Player_163,19,70,75,Real Madrid,England,RB,14929,612089,42,80,5,2021
Player_164,17,71,79,PSG,Germany,RW,53462,7110446,59,31,2,2021
Player_165,21,74,86,Atletico Madrid,France,CAM,19666,393320,92,59,4,2022
Player_166,42,75,76,Barcelona,Italy,ST,74244,1410636,64,54,2,2022
Player_167,39,87,87,Barcelona,Brazil,LB,7013,168312,83,54,1,2021
Player_168,30,75,87,Chelsea,Croatia,LB,175030,4550780,73,58,3,2020
Player_169,23,68,77,Barcelona,Netherlands,LB,30237,5351949,99,88,3,2022
Player_170,43,56,67,Arsenal,Brazil,CB,13462,2086610,53,82,4,2023
Player_171,25,58,71,Manchester City,Portugal,ST,3816,732672,88,66,4,2023
Player_172,31,77,78,Manchester City,Spain,CAM,9301,1506762,96,87,3,2019
Player_173,31,82,88,Chelsea,Romania,ST,36674,2493832,54,54,4,2025
Player_174,42,87,89,Arsenal,France,RB,20549,1787763,81,52,2,2021
Player_175,26,63,72,Manchester City,Romania,LW,88270,11739910,55,82,5,2020
Player_176,44,68,69,Liverpool,Brazil,ST,28183,3466509,70,78,5,2019
Player_177,29,74,87,Arsenal,Brazil,,14298,443238,66,63,2,2021
Player_178,35,92,99,Atletico Madrid,Spain,RB,48004,8016668,33,52,5,2022
Player_179,23,73,79,Juventus,Spain,LW,61341,11102721,76,91,1,2023
Player_180,33,87,99,PSG,Brazil,CDM,9138,374658,72,44,2,2024
Player_181,36,73,85,Arsenal,Belgium,LW,9173,1724524,92,61,4,2020
Player_182,20,83,84,PSG,Argentina,CDM,1868,341844,79,73,2,2024
Player_183,21,82,84,Liverpool,Spain,GK,66666,8133252,99,97,3,2023
Player_184,39,73,83,Juventus,Argentina,LW,54503,7030887,71,75,4,2025
Player_185,23,61,67,Bayern Munich,Italy,CDM,32182,5084756,68,77,3,2025
Player_186,29,69,82,Chelsea,Romania,RW,92949,12176319,67,61,4,2024
Player_187,31,86,89,Arsenal,France,LB,81909,3358269,63,78,5,2022
Player_188,27,80,92,Chelsea,Belgium,CB,44016,5634048,36,71,2,2021
Player_189,20,67,80,Barcelona,Spain,LW,101350,4864800,66,46,1,2022
Player_190,29,68,68,PSG,Italy,CM,11523,241983,38,81,4,2024
Player_191,23,54,66,PSG,Croatia,ST,5934,1091856,76,84,4,2022
Player_192,43,86,99,Barcelona,Germany,CDM,15718,424386,51,82,3,2023
Player_193,35,80,84,Bayern Munich,Portugal,CAM,2939,464362,56,70,5,2020
Player_194,38,70,81,Real Madrid,Argentina,CDM,37875,5681250,59,55,3,2022
Player_195,44,74,82,Atletico Madrid,Belgium,LW,137919,21791202,66,35,3,2023
Player_196,18,50,57,Arsenal,Belgium,CDM,2006,270810,70,72,5,2020
Player_197,26,67,78,PSG,Croatia,RB,6511,944095,86,86,1,2025
Player_198,29,85,99,Atletico Madrid,Croatia,CAM,30092,1655060,61,84,3,2021
Player_199,41,81,89,PSG,France,LW,135810,15346530,77,82,3,2024
Player_200,37,75,84,Real Madrid,Argentina,CB,19001,2736144,99,68,4,2025
Player_201,22,71,84,Barcelona,Germany,RB,35386,5661760,75,86,5,2021
Player_202,44,79,87,Real Madrid,France,CAM,2123,201685,67,83,2,2025
Player_203,44,69,83,PSG,Belgium,ST,8028,1276452,58,63,1,2019
Player_204,28,55,61,Barcelona,Brazil,CM,215737,21142226,67,80,1,2025
Player_205,28,71,74,Real Madrid,Germany,ST,167790,5201490,56,61,5,2023
Player_206,36,76,80,Bayern Munich,Belgium,CDM,1000,101000,74,78,4,2020
Player_207,27,83,83,Barcelona,Romania,CDM,151632,5762016,71,50,4,2025
Player_208,42,57,70,Arsenal,England,GK,50960,1121120,37,51,5,2022
Player_209,39,70,70,PSG,England,CAM,101216,1113376,69,85,4,2021
Player_210,44,71,73,Liverpool,Croatia,CDM,30324,1152312,86,84,1,2025
Player_211,41,60,72,Chelsea,Spain,GK,36241,6849549,64,79,1,2020
Player_212,23,76,89,PSG,France,ST,33554,1207944,60,71,2,2023
Player_213,17,79,86,Arsenal,Belgium,,54960,3242640,49,34,5,2019
Player_214,17,69,82,Manchester City,Croatia,ST,7520,782080,42,68,3,2021
Player_215,41,92,93,Atletico Madrid,Romania,LW,1521,243360,82,76,3,2024
Player_216,43,68,71,Atletico Madrid,Spain,CDM,18403,1785091,67,61,2,2020
Player_217,41,67,68,Chelsea,France,RB,60984,3232152,81,59,2,2024
Player_218,36,67,80,PSG,Croatia,,11273,349463,92,91,4,2020
Player_219,29,63,67,Chelsea,Germany,CM,55955,10071900,83,69,2,2020
Player_220,25,66,74,Juventus,Romania,RB,175181,30481494,61,76,2,2023
Player_221,19,57,57,PSG,Belgium,,4930,976140,72,81,3,2023
Player_222,23,70,74,Barcelona,France,ST,55828,5917768,60,54,4,2023
Player_223,22,72,85,Barcelona,Belgium,CDM,29326,5659918,59,72,2,2025
Player_224,24,49,63,Juventus,Brazil,LB,101301,1215612,75,89,2,2022
Player_225,43,70,78,Bayern Munich,Portugal,CB,9749,1238123,57,97,4,2020
Player_226,25,72,86,Juventus,Netherlands,GK,58984,1651552,36,70,5,2021
Player_227,21,77,77,Juventus,England,,91043,2913376,56,66,4,2024
Player_228,17,84,92,Chelsea,Romania,LW,144671,24015386,65,74,3,2023
Player_229,35,80,87,Real Madrid,Portugal,GK,57481,2241759,92,73,5,2025
Player_230,26,65,68,Barcelona,France,ST,34375,1650000,62,90,1,2023
Player_231,28,64,75,Real Madrid,Netherlands,CM,48096,5627232,77,55,4,2024
Player_232,40,77,87,Juventus,Romania,LB,101591,12190920,67,65,3,2024
Player_233,31,66,75,Bayern Munich,Portugal,CB,42269,1437146,88,53,5,2020
Player_234,43,59,63,Barcelona,Brazil,CDM,1542,211254,87,54,4,2023
Player_235,38,95,99,PSG,England,CM,133645,16037400,87,75,2,2024
Player_236,40,68,72,PSG,Italy,CAM,58482,8479890,43,82,4,2022
Player_237,25,65,75,PSG,France,LB,56429,6489335,73,60,1,2022
Player_238,36,50,61,Arsenal,England,RB,12146,2368470,81,81,4,2023
Player_239,33,80,85,Chelsea,Portugal,LB,53776,8227728,75,86,5,2025
Player_240,33,62,68,Manchester City,Romania,RW,25032,2027592,79,99,5,2024
Player_241,42,72,79,Juventus,Italy,CM,52667,7268046,70,71,4,2020
Player_242,36,81,95,Manchester City,Croatia,RW,5635,659295,58,60,5,2020
Player_243,28,62,75,Liverpool,Argentina,RW,53624,750736,44,54,2,2025
Player_244,23,72,79,Chelsea,England,CDM,372086,4465032,60,53,4,2020
Player_245,18,87,97,PSG,Argentina,LB,2470,348270,99,88,2,2019
Player_246,19,47,60,Barcelona,Croatia,CDM,188993,21356209,62,47,2,2023
Player_247,33,63,75,Chelsea,Netherlands,LW,26120,1906760,40,88,3,2020
Player_248,21,62,63,Arsenal,Romania,CDM,102301,11764615,80,56,4,2022
Player_249,33,70,78,Barcelona,Germany,,76251,8158857,82,59,5,2024
Player_250,40,71,77,Real Madrid,Belgium,,41852,795188,89,67,2,2021
Player_251,33,61,64,Arsenal,Netherlands,LW,67056,10594848,77,59,3,2025
Player_252,43,65,68,Real Madrid,Italy,CB,105398,14439526,82,83,4,2021
Player_253,33,64,74,Barcelona,Italy,LB,25887,1423785,97,97,4,2020
Player_254,18,68,75,PSG,England,RB,19802,3247528,58,60,1,2021
Player_255,18,74,77,Manchester City,Croatia,CAM,55069,4130175,55,63,1,2021
Player_256,44,81,93,Juventus,Belgium,RW,82472,14680016,53,67,2,2019
Player_257,38,82,96,Chelsea,Germany,CM,71834,8691914,66,78,1,2022
Player_258,39,78,83,Chelsea,Portugal,CB,79928,1758416,91,67,2,2025
Player_259,21,63,67,PSG,Spain,CAM,28598,4175308,77,90,5,2022
Player_260,17,71,73,Juventus,France,GK,85141,14729393,77,87,2,2019
Player_261,17,95,99,Real Madrid,Germany,CDM,6403,608285,42,52,1,2019
Player_262,35,82,95,Manchester City,Italy,RW,39316,3892284,59,77,5,2021
Player_263,18,67,76,Juventus,Spain,,1000,67000,42,92,1,2023
Player_264,37,87,97,Real Madrid,Italy,LW,19621,1236123,87,62,2,2024
Player_265,28,68,69,Juventus,Belgium,CM,22821,479241,93,65,3,2024
Player_266,42,65,73,Liverpool,Belgium,CDM,25223,580129,81,62,4,2021
Player_267,22,85,94,Chelsea,Romania,ST,59448,7728240,55,62,1,2024
Player_268,39,58,66,Liverpool,England,CAM,24596,4205916,92,44,2,2019
Player_269,20,52,52,Juventus,Portugal,CM,29773,5656870,66,50,5,2022
Player_270,39,81,90,Arsenal,Brazil,,13560,1762800,51,71,1,2024
Player_271,27,72,74,Chelsea,Italy,RB,23360,677440,55,92,1,2025
Player_272,40,73,80,Manchester City,Portugal,LW,12891,1082844,63,60,4,2021
Player_273,43,68,73,PSG,Argentina,GK,3800,581400,70,60,2,2023
Player_274,33,69,73,Liverpool,Italy,ST,46247,3653513,67,95,3,2021
Player_275,22,67,71,PSG,Spain,RW,55163,3585595,48,53,5,2020
Player_276,40,65,70,Real Madrid,Portugal,CM,48312,5314320,88,45,2,2021
Player_277,21,68,82,Atletico Madrid,Germany,ST,31133,6070935,67,57,5,2019
Player_278,36,67,73,Arsenal,Portugal,RB,23884,3367644,59,60,1,2022
Player_279,18,63,63,Real Madrid,Germany,CB,99510,11941200,86,43,4,2022
Player_280,22,66,74,Bayern Munich,Belgium,LW,36602,4904668,52,68,4,2025
Player_281,38,46,48,Real Madrid,Croatia,CDM,32617,4598997,45,84,3,2024
Player_282,27,78,81,Real Madrid,Germany,CAM,1298,37642,89,50,4,2019
Player_283,32,75,84,Atletico Madrid,Netherlands,CB,20870,3067890,98,71,1,2020
Player_284,32,71,71,Chelsea,Brazil,LB,23917,789261,63,75,3,2019
Player_285,17,74,86,Arsenal,Netherlands,GK,25443,4147209,69,68,2,2021
Player_286,25,74,84,Arsenal,Spain,GK,43395,1996170,52,72,4,2019
Player_287,44,64,73,Manchester City,France,CDM,38135,2402505,70,72,3,2019
Player_288,43,66,68,Real Madrid,Spain,LW,46812,5242944,62,57,1,2025
Player_289,22,77,78,Arsenal,Croatia,CB,72383,11436514,68,92,5,2020
Player_290,32,74,75,Barcelona,England,CB,83828,3939916,76,88,5,2021
Player_291,19,92,99,Manchester City,Italy,RB,63314,11586462,53,87,1,2023
Player_292,36,88,88,Barcelona,Netherlands,RW,155639,2023307,64,85,1,2025
Player_293,44,81,88,Atletico Madrid,Spain,LB,1000,197000,42,46,5,2023
Player_294,43,64,66,Barcelona,Croatia,CAM,10893,718938,64,83,3,2025
Player_295,20,66,68,PSG,Italy,LW,1000,182000,68,79,5,2022
Player_296,35,61,66,Juventus,Romania,CM,52131,1511799,73,46,1,2025
Player_297,42,74,86,Barcelona,Croatia,RW,114154,2968004,73,66,4,2024
Player_298,19,44,51,Atletico Madrid,Italy,CAM,13951,1785728,83,74,2,2019
Player_299,35,67,79,PSG,Italy,ST,130888,10471040,46,94,4,2022
Player_300,36,68,82,Atletico Madrid,Brazil,LB,3107,40391,47,80,4,2020
Player_301,23,56,64,Atletico Madrid,France,CAM,136236,3133428,77,57,1,2023
Player_302,36,79,87,Real Madrid,Germany,CB,21664,259968,39,95,5,2025
Player_303,25,60,63,Atletico Madrid,Spain,LW,5347,475883,72,70,3,2019
Player_304,17,74,87,Barcelona,England,,33264,6486480,52,66,4,2020
Player_305,24,99,99,Juventus,Croatia,CAM,14837,949568,93,65,5,2024
Player_306,23,55,56,Atletico Madrid,Spain,,16764,2363724,73,45,3,2020
Player_307,34,70,80,Atletico Madrid,Germany,GK,18357,2368053,66,68,4,2019
Player_308,24,67,75,Arsenal,Romania,CM,81234,2680722,88,77,3,2024
Player_309,17,65,72,Bayern Munich,Belgium,RB,38735,6623685,54,64,5,2020
Player_310,27,79,81,Liverpool,Portugal,LW,18648,3114216,56,76,2,2024
Player_311,44,83,93,PSG,Italy,,47123,4288193,51,57,5,2025
Player_312,41,79,90,Bayern Munich,Netherlands,RB,62965,9822540,57,67,1,2025
Player_313,41,64,76,PSG,Netherlands,CM,15915,2673720,70,74,3,2019
Player_314,34,96,99,Liverpool,Portugal,CB,26683,5256551,77,72,2,2019
Player_315,39,54,56,Juventus,England,CM,6498,448362,84,45,3,2024
Player_316,26,61,69,Manchester City,Croatia,RW,9992,1558752,42,63,3,2021
Player_317,19,73,74,Liverpool,Netherlands,,57146,3314468,67,95,4,2022
Player_318,23,72,83,Chelsea,Portugal,GK,10010,720720,53,62,1,2020
Player_319,44,76,85,Bayern Munich,Portugal,CAM,37239,4431441,66,70,3,2020
Player_320,32,87,95,Barcelona,Croatia,CDM,61729,9814911,99,68,5,2021
Player_321,42,70,84,Real Madrid,Italy,RB,5651,909811,74,93,5,2021
Player_322,32,73,80,Chelsea,Germany,CB,41886,4942548,83,89,4,2021
Player_323,41,66,74,Atletico Madrid,Germany,LW,14823,1259955,99,82,1,2023
Player_324,36,77,81,Atletico Madrid,Germany,CB,164743,6424977,86,55,1,2023
Player_325,44,68,78,Barcelona,Spain,RB,33038,2213546,63,75,5,2024
Player_326,33,68,78,Barcelona,France,ST,81992,10330992,50,78,2,2023
Player_327,18,77,78,Arsenal,Croatia,GK,39950,6711600,69,59,4,2025
Player_328,17,82,89,PSG,Spain,GK,2219,241871,61,56,4,2025
Player_329,32,49,60,Arsenal,Portugal,CM,50140,1403920,47,95,5,2019
Player_330,28,75,89,Liverpool,France,RB,151210,27973850,73,65,5,2024
Player_331,21,69,74,Manchester City,Croatia,LB,46016,8374912,73,94,2,2020
Player_332,21,81,88,Bayern Munich,Netherlands,ST,85515,8808045,96,84,2,2022
Player_333,43,69,79,Barcelona,Croatia,RB,107797,20697024,64,76,1,2019
Player_334,39,85,89,PSG,Argentina,CB,12943,1579046,74,76,4,2020
Player_335,25,65,74,Bayern Munich,Spain,RW,11915,2287680,60,48,4,2020
Player_336,25,49,50,Liverpool,Spain,RB,47206,7316930,83,73,5,2024
Player_337,19,82,87,Manchester City,Croatia,ST,26468,1905696,68,91,1,2021
Player_338,35,63,67,Chelsea,Italy,RB,91585,11448125,52,80,4,2021
Player_339,32,56,67,Arsenal,Germany,,115140,14047080,69,72,1,2019
Player_340,32,72,84,Liverpool,Croatia,CM,21803,1220968,75,95,1,2021
Player_341,19,69,80,Atletico Madrid,Belgium,LB,13516,892056,73,67,5,2020
Player_342,36,80,84,Arsenal,Netherlands,,75825,9629775,85,60,1,2021
Player_343,40,80,92,Real Madrid,Belgium,GK,16065,867510,48,72,2,2023
Player_344,38,72,72,Arsenal,Germany,CDM,86471,14700070,57,81,2,2021
Player_345,40,63,64,Liverpool,France,LB,27559,4244086,79,44,3,2020
